date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/01/01,Mexico,29616,1982,2961,257
2020/01/01,Mexico,31522,1906,3160,199
2020/01/01,Monaco,95,0,1,0
2020/01/01,Mongolia,40,1,0,0
2020/01/01,Mongolia,41,1,0,0
2020/01/01,Mongolia,41,0,0,0
2020/01/01,Mongolia,41,0,0,0
2020/01/01,Mongolia,42,1,0,0
2020/01/01,Montenegro,324,1,8,0
2020/01/01,Morocco,5053,150,179,5
2020/01/01,Morocco,5219,166,181,2
2020/01/01,Morocco,5408,189,183,2
2020/01/01,Morocco,5548,140,183,0
2020/01/01,Morocco,5711,163,186,3
2020/01/01,Morocco,5910,199,186,0
2020/01/01,Myanmar,161,0,6,0
2020/01/01,Nepal,82,0,0,0
2020/01/01,Netherlands,40770,199,5082,26
2020/01/01,Netherlands,41319,232,5204,36
2020/01/01,Netherlands,41774,455,5288,84
2020/01/01,Netherlands,42093,319,5359,71
2020/01/01,Netherlands,42382,289,5422,63
2020/01/01,NewCaledonia,18,0,0,0
2020/01/01,NewCaledonia,18,0,0,0
2020/01/01,NewCaledonia,18,0,0,0
2020/01/01,NewCaledonia,18,0,0,0
2020/01/01,NewCaledonia,18,0,0,0
2020/01/01,NewZealand,1137,0,20,0
2020/01/01,NewZealand,1138,1,21,1
2020/01/01,NewZealand,1139,1,21,0
2020/01/01,NewZealand,1141,2,21,0
2020/01/01,NewZealand,1142,1,21,0
2020/01/01,Nicaragua,15,1,5,1
2020/01/01,Nicaragua,16,1,5,0
2020/01/01,Nicaragua,16,0,5,0
2020/01/01,Nicaragua,16,0,5,0
2020/01/01,Niger,755,5,37,1
2020/01/01,Niger,770,7,38,0
2020/01/01,Niger,781,11,42,4
2020/01/01,Nigeria,2802,414,93,8
2020/01/01,Nigeria,3145,195,103,5
2020/01/01,Nigeria,3526,381,107,4
2020/01/01,Nigeria,3912,386,117,10
2020/01/01,Nigeria,4151,239,128,11
2020/01/01,NorthMacedonia,1526,8,86,1
2020/01/01,Norway,7995,42,209,0
2020/01/01,Oman,2735,167,12,0
2020/01/01,Oman,2903,168,13,1
2020/01/01,Oman,2958,55,13,0
2020/01/01,Oman,3112,154,15,2
2020/01/01,Oman,3224,112,17,2
2020/01/01,Oman,3400,176,17,0
2020/01/01,Panama,7197,107,200,3
2020/01/01,Panama,7387,190,203,3
2020/01/01,Panama,7523,136,210,7
2020/01/01,Panama,7731,208,218,8
2020/01/01,Panama,7868,137,225,7
2020/01/01,Panama,8070,202,231,6
2020/01/01,PapuaNewGuinea,8,0,0,0
2020/01/01,PapuaNewGuinea,8,0,0,0
2020/01/01,PapuaNewGuinea,8,0,0,0
2020/01/01,PapuaNewGuinea,8,0,0,0
2020/01/01,PapuaNewGuinea,8,0,0,0
2020/01/01,Paraguay,396,26,10,0
2020/01/01,Paraguay,440,9,10,0
2020/01/01,Peru,45928,3394,1286,86
2020/01/01,Peru,47372,1444,1344,58
2020/01/01,Peru,51189,3817,1444,100
2020/01/01,Peru,54817,3628,1533,89
2020/01/01,Peru,58526,3709,1627,94
2020/01/01,Peru,61847,3321,1714,87
2020/01/01,Philippines,9485,262,623,16
2020/01/01,Philippines,9684,199,637,14
2020/01/01,Philippines,10004,320,658,21
2020/01/01,Philippines,10343,339,685,27
2020/01/01,Philippines,10463,120,696,11
2020/01/01,Poland,14006,313,698,20
2020/01/01,Poland,14740,309,733,17
2020/01/01,Poland,15047,307,755,22
2020/01/01,Poland,15366,319,776,21
2020/01/01,Poland,15651,285,785,9
2020/01/01,Portugal,25524,242,1063,20
2020/01/01,Portugal,26182,480,1089,15
2020/01/01,Portugal,26715,533,1105,16
2020/01/01,Portugal,27268,553,1114,9
2020/01/01,Portugal,27406,138,1126,12
2020/01/01,PuertoRico,1843,54,35,-43
2020/01/01,PuertoRico,1968,44,56,0
2020/01/01,PuertoRico,2156,125,56,0
2020/01/01,PuertoRico,2173,108,17,52
2020/01/01,Qatar,16191,640,12,0
2020/01/01,Qatar,17972,830,12,0
2020/01/01,Qatar,20201,1311,12,0
2020/01/01,Qatar,21331,1130,13,1
2020/01/01,Republic,19,0,0,0
2020/01/01,Republic,19,0,0,0
2020/01/01,Republic,19,0,0,0
2020/01/01,Republic,19,0,0,0
2020/01/01,Republic,19,0,0,0
2020/01/01,RepublicofKorea,10804,3,254,2
2020/01/01,RepublicofKorea,10806,2,255,1
2020/01/01,RepublicofKorea,10810,4,256,1
2020/01/01,RepublicofKorea,10822,12,256,0
2020/01/01,RepublicofMoldova,4605,129,145,2
2020/01/01,Romania,13512,349,803,23
2020/01/01,Romania,14107,270,858,31
2020/01/01,Romania,14499,392,876,18
2020/01/01,Romania,14811,312,898,22
2020/01/01,Romania,15131,320,926,28
2020/01/01,RussianFederation,155370,10102,1451,95
2020/01/01,RussianFederation,165929,10559,1537,86
2020/01/01,RussianFederation,177160,11231,1625,88
2020/01/01,RussianFederation,187859,10699,1723,98
2020/01/01,RussianFederation,198676,10817,1827,104
2020/01/01,RussianFederation,209688,11012,1915,88
2020/01/01,Rwanda,261,2,0,0
2020/01/01,Rwanda,268,7,0,0
2020/01/01,Rwanda,271,3,0,0
2020/01/01,SaintKittsandNevis,15,0,0,0
2020/01/01,SaintKittsandNevis,15,0,0,0
2020/01/01,SaintKittsandNevis,15,0,0,0
2020/01/01,SaintKittsandNevis,15,0,0,0
2020/01/01,SaintLucia,18,1,0,0
2020/01/01,SaintLucia,18,0,0,0
2020/01/01,SaintLucia,18,0,0,0
2020/01/01,SaintLucia,18,0,0,0
2020/01/01,SanMarino,582,0,41,0
2020/01/01,SanMarino,589,7,41,0
2020/01/01,SanMarino,608,19,41,0
2020/01/01,SanMarino,632,0,41,0
2020/01/01,SanMarino,632,0,41,0
2020/01/01,Senegal,1271,0,10,1
2020/01/01,Senegal,1433,104,12,1
2020/01/01,Senegal,1492,59,13,1
2020/01/01,Serbia,9848,57,206,3
2020/01/01,Seychelles,11,0,0,33
2020/01/01,SierraLeone,178,21,9,1
2020/01/01,Singapore,19410,632,18,0
2020/01/01,Slovakia,1421,8,25,0
